"domainID","siteID","colocatedSiteID","closestCity","minDistToCityInKM","pop"
"D01","BART","","Portland ME","92.5862440355741","62882"
"D01","HARV","HOPB","Fitchburg MA","29.5525281845571","40565"
"D01","HOPB","HARV","Chicopee MA","38.0068760968068","55222"
"D02","BLAN","LEWI","Sterling VA","53.0458483440273","56529"
"D02","LEWI","BLAN","Sterling VA","48.8219651605943","56529"
"D02","POSE","SCBI","Centreville VA","61.5739331111449","69167"
"D02","SCBI","POSE","Centreville VA","60.8907015054898","69167"
"D02","SERC","","Annapolis MD","11.6785613392133","36300"
"D03","BARC","OSBS","Gainesville FL","32.1047206148061","127933"
"D03","DSNY","","Kissimmee FL","19.5582483508178","67085"
"D03","FLNT","JERC","Albany GA","50.1344870059963","75510"
"D03","JERC","FLNT","Albany GA","50.767911639265","75510"
"D03","OSBS","BARC|SUGG","Gainesville FL","33.6140531500193","127933"
"D03","SUGG","OSBS","Gainesville FL","31.2550008649682","127933"
"D04","CUPE","","","",""
"D04","GUAN","","","",""
"D04","GUIL","","","",""
"D04","LAJA","","","",""
"D05","CRAM","","Duluth MN","212.806532668982","84472"
"D05","LIRO","","Eau Claire WI","191.511052122385","63049"
"D05","STEI","","Appleton WI","166.550330628864","70090"
"D05","TREE","","Appleton WI","165.129464969334","70090"
"D05","UNDE","","Duluth MN","207.307530114872","84472"
"D06","KING","KONA","Manhattan KS","9.50534178044445","45671"
"D06","KONA","KING","Manhattan KS","9.05181323677793","45671"
"D06","KONZ","","Manhattan KS","10.1755957467629","45671"
"D06","MCDI","","Manhattan KS","29.9400967419411","45671"
"D06","UKFS","","Lawrence KS","10.6899747692319","83948"
"D07","GRSM","LECO","Knoxville TN","51.1016468939751","172000"
"D07","LECO","GRSM","Knoxville TN","50.8702546650584","172000"
"D07","MLBS","","Blacksburg VA","18.4839015384843","40303"
"D07","ORNL","WALK","Knoxville TN","30.0068826870263","172000"
"D07","WALK","ORNL","Knoxville TN","29.7330735945135","172000"
"D08","BLWA","DELA","Tuscaloosa AL","81.1411718615938","80164"
"D08","DELA","BLWA","Tuscaloosa AL","81.2813371283901","80164"
"D08","LENO","TOMB","Hattiesburg MS","124.60735029362","48728"
"D08","MAYF","TALL","Tuscaloosa AL","33.3823070538252","80164"
"D08","TALL","MAYF","Tuscaloosa AL","34.9106961886383","80164"
"D08","TOMB","LENO","Hattiesburg MS","124.776374353493","48728"
"D09","DCFS","PRLA","Bismarck ND","132.445511990765","56927"
"D09","NOGP","","Bismarck ND","11.9672953158751","56927"
"D09","PRLA","DCFS","Bismarck ND","131.832404595427","56927"
"D09","PRPO","WOOD","Bismarck ND","120.780240870761","56927"
"D09","WOOD","PRPO","Bismarck ND","121.588165754198","56927"
"D10","ARIK","","Aurora CO","195.763154540126","304641"
"D10","CPER","","Cheyenne WY","37.3313258471394","55833"
"D10","RMNP","","Boulder CO","37.1674546945519","90957"
"D10","STER","","Greeley CO","145.212306932621","88957"
"D11","BLUE","","Norman OK","109.021581665","102925"
"D11","CLBJ","PRIN","Denton TX","46.1405136445882","105431"
"D11","OAES","","Lawton OK","107.177425258238","91453"
"D11","PRIN","CLBJ","Denton TX","63.5670975139919","105431"
"D12","BLDE","YELL","Billings MT","185.548240986787","101249"
"D12","YELL","BLDE|YELL","Billings MT","182.11260255984","101249"
"D13","COMO","NIWO","Boulder CO","25.113569948838","90957"
"D13","MOAB","","Grand Junction CO","118.543995581065","46350"
"D13","NIWO","COMO","Boulder CO","28.4923900717861","90957"
"D13","WLOU","","Boulder CO","58.9004360797231","90957"
"D14","JORN","","Las Cruces NM","28.8635061379133","81473"
"D14","SRER","","Tucson AZ","32.4925906227757","525268"
"D14","SYCA","","Scottsdale AZ","34.2194685247851","230949"
"D15","ONAQ","","West Jordan UT","61.1701972351319","105629"
"D15","REDB","","Salt Lake City UT","11.1601917676404","177318"
"D16","ABBY","","Vancouver WA","28.2566880084163","161034"
"D16","MART","","Gresham OR","51.0113466113937","100674"
"D16","MCRA","","Springfield OR","69.1908136987612","56575"
"D16","WREF","","Gresham OR","52.1138991117551","100674"
"D17","BIGC","","Clovis CA","47.552101727114","90115"
"D17","SJER","","Clovis CA","32.176857368272","90115"
"D17","SOAP","","Clovis CA","45.6320139473974","90115"
"D17","TEAK","","Clovis CA","65.1903859429993","90115"
"D17","TECR","","Clovis CA","61.8288221436232","90115"
"D18","BARR","","Anchorage AK","1172.9651207423","279428"
"D18","OKSR","TOOL","Anchorage AK","835.039891682432","279428"
"D18","TOOK","TOOL","Anchorage AK","830.913680142762","279428"
"D18","TOOL","TOOK|OKSR","Anchorage AK","834.113479802979","279428"
"D19","BONA","CARI","Anchorage AK","451.00372717041","279428"
"D19","CARI","BONA","Anchorage AK","450.904758546751","279428"
"D19","DEJU","","Anchorage AK","349.136435136216","279428"
"D19","HEAL","","Anchorage AK","300.460729381408","279428"
"D20","PUUM","","Hilo HI","28.8610213697749","43466"
